parent,child,branch_length
16007,12353,0.4931959417994376
16007,16008,0.006935508603587215
16008,16009,0.02868543319585043
16009,5140,0.45757499999999995
16009,16123,0.06410799999999994
16123,1708,0.393467
16123,1800,0.393467
16008,16010,0.00144870354995702
16010,16011,0.009762396312559984
16011,10188,0.4750493333333334
16011,16042,0.021344083333333375
16042,6539,0.45370525
16042,16139,0.06245525000000002
16139,6793,0.39125
16139,9377,0.39125
16010,16012,8.149403860782667e-4
16012,16013,0.03805078925981509
16013,4131,0.445946
16013,12080,0.445946
16012,16014,4.925515540743497e-5
16014,5498,0.48394753410440766
16014,16015,1.9979850133128307e-4
16015,16016,0.09425423560307639
16016,259,0.3894935
16016,558,0.3894935
16015,16017,0.0019525837643120658
16017,16018,0.017668776838764333
16018,16092,0.09522087499999998
16092,9964,0.3689055
16092,14482,0.3689055
16018,16093,0.04592787500000001
16093,6290,0.4181985
16093,8922,0.4181985
16017,16019,3.371289095851493e-4
16019,16020,0.005998689595845874
16020,16040,0.09214583333333332
16040,2347,0.3833135
16040,3211,0.3833135
16020,16041,0.0269793333333333
16041,7018,0.44848
16041,16171,0.06876899999999997
16171,3039,0.379711
16171,7190,0.379711
16019,16021,9.086589313861415e-5
16021,16022,0.024886657036040538
16022,2011,0.4564805
16022,6818,0.4564805
16021,16023,5.420473089500222e-4
16023,16024,0.007886498615979398
16024,16053,0.04495261111111115
16053,2866,0.427986
16053,16384,0.08165549999999999
16384,5693,0.3463305
16384,11195,0.3463305
16024,16054,0.009389111111111126
16054,5017,0.4635495
16054,16100,0.03777649999999999
16100,2613,0.425773
16100,11859,0.425773
16023,16025,5.647190297073945e-4
16025,16026,0.05388539069738313
16026,2848,0.426375
16026,9586,0.426375
16025,16027,0.0026167060919525253
16027,16028,0.03256868460543061
16028,14907,0.445075
16028,16197,0.006767000000000023
16197,14241,0.438308
16197,14261,0.438308
16027,16029,0.0012679545501014244
16029,16030,0.006599980055329191
16030,16067,0.07431175000000001
16067,4760,0.395464
16067,8871,0.395464
16030,16068,0.01551387500000001
16068,16135,0.04870637499999997
16135,2326,0.4055555
16135,4145,0.4055555
16068,16136,0.04870637499999997
16136,2533,0.4055555
16136,7821,0.4055555
16029,16031,4.11465683658796e-4
16031,16032,0.012623192943098993
16032,16101,0.04037032142857139
16101,11809,0.42297075
16101,16478,0.033025250000000006
16478,2143,0.3899455
16478,12516,0.3899455
16032,16102,0.010521871428571417
16102,16143,0.0766307
16143,13479,0.3761885
16143,13658,0.3761885
16102,16144,0.07347732499999998
16144,5869,0.379341875
16144,17675,0.01473204166666664
17675,4293,0.36460983333333336
17675,18274,0.04417333333333334
18274,9236,0.3204365
18274,20406,0.09486650000000002
20406,3705,0.22557
20406,14140,0.22557
16031,16033,5.338540864241459e-5
16033,16034,0.0070855789630280275
16034,16069,0.014405466666666644
16069,5290,0.4544198333333333
16069,16134,0.03590533333333329
16134,13668,0.4185145
16134,16546,0.05880050000000003
16546,1645,0.359714
16546,9826,0.359714
16034,16070,0.012577799999999972
16070,16127,0.02291399999999999
16127,398,0.4333335
16127,5048,0.4333335
16070,16128,0.010265749999999962
16128,8980,0.44598175
16128,16188,0.07270474999999998
16188,881,0.373277
16188,5653,0.373277
16033,16035,3.6987371241659073e-4
16035,16036,0.024045338583944698
16036,16155,0.07428641666666669
16155,550,0.37720925
